00218|Мы также призываем всех партнеров продолжать соблюдение своих обязательств в области развития Гаити.|Мы также призываем всех партнеров продолжать соблюдение своих обязательств в области развития Гаити.
00219|Полный текст моего выступления распространен.|Полный текст моего выступления распространен.
00220|Широкую поддержку встретили также меры, принимаемые Генеральным секретарем по реформированию Организации Объединенных Наций.|Широкую поддержку встретили также меры, принимаемые Генеральным секретарем по реформированию Организации Объединенных Наций.
00221|Но я также хочу сказать следующее.|Но я также хочу сказать следующее.
00222|Мы считаем, что положения, касающиеся мирного разрешения споров, по-прежнему применяются Советом крайне недостаточно.|Мы считаем, что положения, касающиеся мирного разрешения споров, по-прежнему применяются Советом крайне недостаточно.
00223|Более частыми становятся такие экстремальные погодные условия, как наводнения.|Более частыми становятся такие экстремальные погодные условия, как наводнения.
00224|И он был счастлив этим.|И он был счастлив этим.
00225|Или инженер получает двадцать тысяч.|Или инженер получает двадцать тысяч.
00226|За раком плыла голая лягушка.|За раком плыла голая лягушка.
00227|Сафо, закурив папиросу, ушла в сад с двумя молодыми людьми.|Сафо, закурив папиросу, ушла в сад с двумя молодыми людьми.
00228|Студент вздрогнул и медленно обернулся к нам: - Что же это?|Студент вздрогнул и медленно обернулся к нам: - Что же это?
00229|Но Анна не слушала ее.|Но Анна не слушала ее.
00230|Как бы это было хорошо!|Как бы это было хорошо!
00231|Так, пожалуйста, приезжай обедать.|Так, пожалуйста, приезжай обедать.
00232|Как здоровые!|Как здоровые!
00233|Почему он ушёл на цыпочках?|Почему он ушёл на цыпочках?
00234|Неприятельский солдат.|Неприятельский солдат.
00235|Игорь|Игорь
00236|Даже Алексей Александрович улыбнулся.|Даже Алексей Александрович улыбнулся.
00237|Левин возвратился к вечеру домой.|Левин возвратился к вечеру домой.
00238|Ничего, прошло.|Ничего, прошло.
00239|А через дыры заборов тихо и бесшумно проскальзывали все новые и новые люди.|А через дыры заборов тихо и бесшумно проскальзывали все новые и новые люди.
00240|Смеясь, он дерзко презирал Земли чужой язык и нравы;|Смеясь, он дерзко презирал Земли чужой язык и нравы;
00241|Ему захотелось есть и спать.|Ему захотелось есть и спать.
00242|Я покорилась ему.|Я покорилась ему.
00243|Другой раз минут двадцать смеются.|Другой раз минут двадцать смеются.
00244|Кити испуганно смотрела на нее, подходя.|Кити испуганно смотрела на нее, подходя.
00245|И я знаю много таких.|И я знаю много таких.
00246|Вот именно поэтому я так рад за тебя.|Вот именно поэтому я так рад за тебя.
00247|Дядя, вы лучше стул поставьте на место!|Дядя, вы лучше стул поставьте на место!
00248|Тяжесть душевного состояния Левина.|Тяжесть душевного состояния Левина.
00249|Смерть науки старожилам!|Смерть науки старожилам!
00250|Любовь к Кити Щербацкой.|Любовь к Кити Щербацкой.
00251|За деньгами остановки не бывает.|За деньгами остановки не бывает.
00252|И, теперь только вспомнив, покраснел.|И, теперь только вспомнив, покраснел.
00253|Народ от поезда бежал назад.|Народ от поезда бежал назад.
00254|И в помощники вам - Каренина.|И в помощники вам - Каренина.
00255|Даже боятся за ее жизнь.|Даже боятся за ее жизнь.
00256|Так я понимаю.|Так я понимаю.
00257|Тимур кинул на кровать кусочек коры и тихонько позвал: – Коля, вставай!|Тимур кинул на кровать кусочек коры и тихонько позвал: – Коля, вставай!
00258|Старый университет.|Старый университет.
00259|Но тут хулиганы подошли ближе и начали ей в ухо громко свистеть.|Но тут хулиганы подошли ближе и начали ей в ухо громко свистеть.
00260|Они не виноваты.|Они не виноваты.
00261|Главное - нравственное воспитание.|Главное - нравственное воспитание.
00262|У меня свои сады и свои огороды.|У меня свои сады и свои огороды.
00263|Мы туда идем, - сказала Долли.|Мы туда идем, - сказала Долли.
00264|Мальчишки издали наблюдают за мной.|Мальчишки издали наблюдают за мной.
00265|Или души задушены Сибирей саваном?|Или души задушены Сибирей саваном?
00266|Появились дворники.|Появились дворники.
00267|Озноб еще не прошел.|Озноб еще не прошел.
00268|Но не дворянство.|Но не дворянство.
00269|Однако ведь это нельзя.|Однако ведь это нельзя.
00270|Для чего?|Для чего?
00271|Жена ждет тебя.|Жена ждет тебя.
00272|Мюлуз - французское название города Мюльгаузена.|Мюлуз - французское название города Мюльгаузена.
00273|Это была Кити.|Это была Кити.
00274|Делайте, как хотите, - говорил он.|Делайте, как хотите, - говорил он.
00275|Вот оно!|Вот оно!
00276|Вот нынче сад насадил.|Вот нынче сад насадил.
00277|И было одно средство - смерть.|И было одно средство - смерть.
00278|– Это Тимки Гараева дядя.|– Это Тимки Гараева дядя.
00279|Он неоднократно занимался изучением серьезных нарушений прав человека, совершенных Израилем в отношении палестинского народа.|Он неоднократно занимался изучением серьезных нарушений прав человека, совершенных Израилем в отношении палестинского народа.
00280|– К тебе навстречу.|– К тебе навстречу.
00281|Тимур вас ограбил?|Тимур вас ограбил?
00282|– Совсем не плохой, но вы очень хорошо играете и поете.|– Совсем не плохой, но вы очень хорошо играете и поете.
00283|"Другая часть загружена максимально и выполняемые процессы ""тормозят"""|"Другая часть загружена максимально и выполняемые процессы ""тормозят"""
00284|– Да, но вы могли стоять и слушать с улицы.|– Да, но вы могли стоять и слушать с улицы.
00285|Письма и телеграммы эти были теплые и ласковые.|Письма и телеграммы эти были теплые и ласковые.
00286|"""Ах, как ваша сестра прекрасно играет!"" Прекрасно!"|"""Ах, как ваша сестра прекрасно играет!"" Прекрасно!"
00287|Это большая потеря для европейской цивилизации и всё такое, но как же это красиво|Это большая потеря для европейской цивилизации и всё такое, но как же это красиво
00288|– Тише! – прервал меня Пугачев.|– Тише! – прервал меня Пугачев.
00289|Наконец пришли разведчики.|Наконец пришли разведчики.
00290|– Рви фонари с руками!|– Рви фонари с руками!
00291|Кто-то включил свет над ларьком, и столпившиеся люди увидели над палаткой такой плакат:|Кто-то включил свет над ларьком, и столпившиеся люди увидели над палаткой такой плакат:
00292|– Ольга положила на стол полученную ночью телеграмму и вышла.|– Ольга положила на стол полученную ночью телеграмму и вышла.
00293|В эту минуту скрыпнула дверь.|В эту минуту скрыпнула дверь.
00294|"""Это тебе так не пройдет, – сказал он, стиснув мне руку."|"""Это тебе так не пройдет, – сказал он, стиснув мне руку."
00295|– Беда, Женя!|– Беда, Женя!
00296|"Дай ему мой заячий тулуп""."|"Дай ему мой заячий тулуп""."
00297|– Что я могу для тебя сделать? Говори.|– Что я могу для тебя сделать? Говори.
00298|Сейчас я хотел бы сделать заявления в моем национальном качестве.|Сейчас я хотел бы сделать заявления в моем национальном качестве.
00299|Положи инструмент на место! – вскакивая, крикнула Ольга.|Положи инструмент на место! – вскакивая, крикнула Ольга.
00300|"– Отведи господину офицеру квартиру, да почище""."|"– Отведи господину офицеру квартиру, да почище""."
00301|Дай срок, то ли еще будет, как пойду на Москву.|Дай срок, то ли еще будет, как пойду на Москву.
00302|В телеграмме было написано:|В телеграмме было написано:
00303|"Я беру на себя устроить ваше состояние""."|"Я беру на себя устроить ваше состояние""."
00304|Какой же ад бывает|Какой же ад бывает
00305|– К ней только изредка нужно подходить и поправлять под ее головой подушку.|– К ней только изредка нужно подходить и поправлять под ее головой подушку.
00306|"""Так ты женат!"" – сказал я Швабрину, готовяся его растерзать."|"""Так ты женат!"" – сказал я Швабрину, готовяся его растерзать."
00307|"Ну, садись на облучок""."|"Ну, садись на облучок""."
00308|– Это такое международное слово.|– Это такое международное слово.
00309|– Ольга совсем не злая, у нее такой характер.|– Ольга совсем не злая, у нее такой характер.
00310|Проще говоря, это оружие, которому больше нет места в нашем международном порядке.|Проще говоря, это оружие, которому больше нет места в нашем международном порядке.
00311|– Позвольте спросить, кто вы таковы?|– Позвольте спросить, кто вы таковы?
00312|"""Пустяки! – сказал комендант."|"""Пустяки! – сказал комендант."
00313|Меня снова повели к самозванцу и поставили перед ним на колени.|Меня снова повели к самозванцу и поставили перед ним на колени.
00314|– Затейлива, – отвечал я ему.|– Затейлива, – отвечал я ему.
00315|– Что это с тобою сделалось? – спросил изумленный комендант.|– Что это с тобою сделалось? – спросил изумленный комендант.
00316|Однако согласиться со столь пристрастными докладами невозможно.|Однако согласиться со столь пристрастными докладами невозможно.
00317|И мы будем продолжать придерживаться этой позиции.|И мы будем продолжать придерживаться этой позиции.
00318|И мы должны добиться внутреннего примирения и единства.|И мы должны добиться внутреннего примирения и единства.
00319|Поэтому признание реальных озабоченностей и потребностей молодых людей - это сегодня абсолютный императив.|Поэтому признание реальных озабоченностей и потребностей молодых людей - это сегодня абсолютный императив.
00320|Но давайте смиримся с этим, успокаивая себя тем, что деяния Всевышнего не подлежат сомнению.|Но давайте смиримся с этим, успокаивая себя тем, что деяния Всевышнего не подлежат сомнению.
00321|Что-то победоносное и гордое засветилось в лице Варвары Петровны.|Что-то победоносное и гордое засветилось в лице Варвары Петровны.
00322|Я не могла без жалости смотреть на него.|Я не могла без жалости смотреть на него.
00323|Ну что, Кити, ты опять каталась на коньках?..|Ну что, Кити, ты опять каталась на коньках?..
00324|Они теперь в прежней диванной, - отпыхиваясь говорил швейцар.|Они теперь в прежней диванной, - отпыхиваясь говорил швейцар.
00325|Дарья Александровна села на садовую скамейку в углу аллеи.|Дарья Александровна села на садовую скамейку в углу аллеи.
00326|Совет должен подходить ко всем странам беспристрастно и объективно.|Совет должен подходить ко всем странам беспристрастно и объективно.
00327|Я не понимаю, как можно быть такой неосторожной!|Я не понимаю, как можно быть такой неосторожной!
00328|Это милое дитя, так же как этот наш хозяин.|Это милое дитя, так же как этот наш хозяин.
00329|Создание этого Агентства свидетельствует о том значении, которое Южная Африка придает молодежной проблематике.|Создание этого Агентства свидетельствует о том значении, которое Южная Африка придает молодежной проблематике.
00330|Я также благодарю Вас и Генерального секретаря за выступления.|Я также благодарю Вас и Генерального секретаря за выступления.
00331|Не может же Кедров драться с этим господином!|Не может же Кедров драться с этим господином!
00332|Однако транспарентность и доступность никогда не должны подрывать безопасность Суда.|Однако транспарентность и доступность никогда не должны подрывать безопасность Суда.
00333|Сегодняшние прения - это продолжение этого состоявшегося почти год назад совещания.|Сегодняшние прения - это продолжение этого состоявшегося почти год назад совещания.
00334|Что-то оборвалось в сердце Дарьи Александровны, когда она увидала это.|Что-то оборвалось в сердце Дарьи Александровны, когда она увидала это.
00335|Разве можно продавать воду?|Разве можно продавать воду?
00336|Левин замолчал, и они вместе вошли в большую залу.|Левин замолчал, и они вместе вошли в большую залу.
00337|Мы должны охватить первичным медико-санитарным обслуживанием население на всей территории Южного Судана.|Мы должны охватить первичным медико-санитарным обслуживанием население на всей территории Южного Судана.
00338|Никому они не мешали, и всем было приятно.|Никому они не мешали, и всем было приятно.
00339|Инженер нахмурился, покраснел, вскинул плечами и пошел было из комнаты.|Инженер нахмурился, покраснел, вскинул плечами и пошел было из комнаты.
00340|Как известно членам Ассамблеи, сейчас Совет по правам человека начинает свой пятый цикл.|Как известно членам Ассамблеи, сейчас Совет по правам человека начинает свой пятый цикл.
00341|Петр Степанович сильно дернул его за рукав.|Петр Степанович сильно дернул его за рукав.
00342|Государствам абсолютно необходимо выполнять свои обязательства в ее рамках.|Государствам абсолютно необходимо выполнять свои обязательства в ее рамках.
00343|В этой связи Коста-Рика решительно осуждает террористические акты, произошедшие в Норвегии во вторник.|В этой связи Коста-Рика решительно осуждает террористические акты, произошедшие в Норвегии во вторник.
00344|Мы также назначили посланников по делам молодежи, включая такого посланника при Организации Объединенных Наций.|Мы также назначили посланников по делам молодежи, включая такого посланника при Организации Объединенных Наций.
00345|Маврикий Николаевич нахмурился и на минуту потупил голову.|Маврикий Николаевич нахмурился и на минуту потупил голову.
00346|Сейчас я поставлю на голосование проект резолюции в целом.|Сейчас я поставлю на голосование проект резолюции в целом.
00347|Необходимо и далее прилагать усилия для адаптации систем образования к реалиям современного рынка труда.|Необходимо и далее прилагать усилия для адаптации систем образования к реалиям современного рынка труда.
00348|Он остановился у своего вагона, ожидая ее выхода.|Он остановился у своего вагона, ожидая ее выхода.
00349|Однако ясно, что нельзя навязать политическую волю государствам-членам.|Однако ясно, что нельзя навязать политическую волю государствам-членам.
00350|Ей казалось несомненным, что теперь положение ее навсегда определится.|Ей казалось несомненным, что теперь положение ее навсегда определится.
00351|Такие меры очень важны для создания прочного фундамента дальнейших усилий в области разоружения.|Такие меры очень важны для создания прочного фундамента дальнейших усилий в области разоружения.
00352|Представитель этой ядерной державы заявил:|Представитель этой ядерной державы заявил:
00353|Так грубо пойманный, Лембке был сильно пикирован.|Так грубо пойманный, Лембке был сильно пикирован.
00354|Он опустил глаза и не знал, что сказать.|Он опустил глаза и не знал, что сказать.
00355|Конференцию по разоружению как таковую обвинять нельзя.|Конференцию по разоружению как таковую обвинять нельзя.
00356|В нынешнем же году назначены были офицерские скачки с препятствиями.|В нынешнем же году назначены были офицерские скачки с препятствиями.
00357|С этой целью данный орган призван избрать всесторонний, комплексный и прагматичный подход.|С этой целью данный орган призван избрать всесторонний, комплексный и прагматичный подход.
00358|Новые члены привнесут новую энергию и новые идеи.|Новые члены привнесут новую энергию и новые идеи.
00359|Должно поощряться более широкое участие гражданского общества в работе этого органа.|Должно поощряться более широкое участие гражданского общества в работе этого органа.
00360|Петрицкий пошел за перегородку и лег на свою кровать.|Петрицкий пошел за перегородку и лег на свою кровать.
00361|Последствия иракской оккупации Кувейта и агрессии против него.|Последствия иракской оккупации Кувейта и агрессии против него.
00362|Он взглянул на небо во время натачиванья косы.|Он взглянул на небо во время натачиванья косы.
00363|В уединении, особенно по ночам, он выносил неприятнейшие минуты.|В уединении, особенно по ночам, он выносил неприятнейшие минуты.
00364|Оба сами себя выдавали и, главное, не церемонились.|Оба сами себя выдавали и, главное, не церемонились.
00365|Мы хотим также сделать краткое заявление в нашем национальном качестве.|Мы хотим также сделать краткое заявление в нашем национальном качестве.
00366|Конференция по разоружению должна стать более открытой и более инклюзивной.|Конференция по разоружению должна стать более открытой и более инклюзивной.
00367|Он является также органом международного правосудия, действующим в интересах всего международного сообщества.|Он является также органом международного правосудия, действующим в интересах всего международного сообщества.
00368|Не бейте меня по голове, это мое больное место.|Не бейте меня по голове, это мое больное место.
00369|– Как изволите видеть.|– Как изволите видеть.
00370|Ввечеру быть уже сговору, так не пора ли ей сказать, что выдают ее замуж?|Ввечеру быть уже сговору, так не пора ли ей сказать, что выдают ее замуж?
00371|Господь помог, наткнулись прямо на забор.|Господь помог, наткнулись прямо на забор.
00372|– Долг мой повиноваться приказу.|– Долг мой повиноваться приказу.
00373|Нет, я еще не забыла твой голос.|Нет, я еще не забыла твой голос.
00374|– Только отпустите меня.|– Только отпустите меня.
00375|Первый раз в жизни проспала.|Первый раз в жизни проспала.
00376|Где она?|Где она?
00377|Он у тебя замечательный.|Он у тебя замечательный.
00378|Вы меня уже заставили волноваться.|Вы меня уже заставили волноваться.
00379|У меня к Вам.|У меня к Вам.
00380|Ваш поступок не имеет названия.|Ваш поступок не имеет названия.
00381|Оленька, а я тебя жду.|Оленька, а я тебя жду.
00382|Рыжова по уши втрескалась в Самохвалова и забрасывает его любовными письмами!|Рыжова по уши втрескалась в Самохвалова и забрасывает его любовными письмами!
00383|Не следовало всего этого надевать.|Не следовало всего этого надевать.
00384|Если сию секунду не замолчите, я сожгу это платье на Ваших глазах!|Если сию секунду не замолчите, я сожгу это платье на Ваших глазах!
00385|Тяжелые, как удар.|Тяжелые, как удар.
00386|Как не хочется.|Как не хочется.
00387|– Ну, – продолжал Зурин, – так и быть.|– Ну, – продолжал Зурин, – так и быть.
00388|Что ты сегодня так разоврался, мой батюшка?|Что ты сегодня так разоврался, мой батюшка?
00389|Марья Ивановна заикнулась и покраснела.|Марья Ивановна заикнулась и покраснела.
00390|А на что мы пойдем?|А на что мы пойдем?
00391|Придётся снова сходить в магазин.|Придётся снова сходить в магазин.
00392|Садитесь, я сейчас посыплю Вас солью и все сойдет.|Садитесь, я сейчас посыплю Вас солью и все сойдет.
00393|А и правда, никакой.|А и правда, никакой.
00394|Чувствуйте себя, как дома.|Чувствуйте себя, как дома.
00395|Я привыкла командовать.|Я привыкла командовать.
00396|Я так взволнована Вашим признанием.|Я так взволнована Вашим признанием.
00397|Зачем вы полезли на балкон?|Зачем вы полезли на балкон?
00398|"""Что же ты стоишь!"" – закричал я сердито."|"""Что же ты стоишь!"" – закричал я сердито."
00399|Вы мне отказываете?|Вы мне отказываете?
00400|Всем хорошо!|Всем хорошо!
00401|Рядовой сотрудник с рядовой зарплатой и сомнительной внешностью.|Рядовой сотрудник с рядовой зарплатой и сомнительной внешностью.
00402|Ты думаешь, я ничего не понимаю?|Ты думаешь, я ничего не понимаю?
00403|Если Вы директорша, Вы думаете, все можете себе позволять?|Если Вы директорша, Вы думаете, все можете себе позволять?
00404|Простим друг друга.|Простим друг друга.
00405|Вы совершенно напрасно.|Вы совершенно напрасно.
00406|И все сотру!|И все сотру!
00407|– Со мною, – отвечал Максимыч, положив руку за пазуху.|– Со мною, – отвечал Максимыч, положив руку за пазуху.
00408|Я купил краску покрасить балкон, а они покрасили на кухне двери.|Я купил краску покрасить балкон, а они покрасили на кухне двери.
00409|– Через полчаса я уеду, – сказал он Ольге.|– Через полчаса я уеду, – сказал он Ольге.
00410|А в том, что я Вам не верю.|А в том, что я Вам не верю.
00411|Я не хочу его чернить, он способный, несомненно справится, а понять его легко.|Я не хочу его чернить, он способный, несомненно справится, а понять его легко.
00412|Пулеметы на линию огня!..|Пулеметы на линию огня!..
00413|Живо ложитесь спать.|Живо ложитесь спать.
00414|Я убеждена в невинности вашего жениха.|Я убеждена в невинности вашего жениха.
00415|По моей ноге скачет блоха.|По моей ноге скачет блоха.
00416|Он мало путешествовал и ничего не видел.|Он мало путешествовал и ничего не видел.
00417|Я видела вчера, как по каналу шёл милиционер и нёс на руках красный свёрток.|Я видела вчера, как по каналу шёл милиционер и нёс на руках красный свёрток.
00418|И дупеля есть.|И дупеля есть.
00419|Как она?|Как она?
00420|Это прямое и простое отношение к своему положению понравилось Голенищеву.|Это прямое и простое отношение к своему положению понравилось Голенищеву.
00421|Прошу Всевышнего о милосердии к вам.|Прошу Всевышнего о милосердии к вам.
00422|Зубной врач.|Зубной врач.
00423|Но это может её испугать.|Но это может её испугать.
00424|И верно ангельский быть должен голосок! Спой, светик, не стыдись!|И верно ангельский быть должен голосок! Спой, светик, не стыдись!
00425|Благовидная молодайка с полными, оттягивавшими ей плечи ведрами прошла в сени.|Благовидная молодайка с полными, оттягивавшими ей плечи ведрами прошла в сени.
00426|Я, не оглядываясь, побежал дальше.|Я, не оглядываясь, побежал дальше.
00427|А ты как поживал?|А ты как поживал?
00428|Дочь командира нечаянно попала в засаду.|Дочь командира нечаянно попала в засаду.
00429|Я смотрю в окно и вижу, как дворник метет улицу.|Я смотрю в окно и вижу, как дворник метет улицу.
00430|Сейчас будет пятерка.|Сейчас будет пятерка.
00431|Зачем вы меня вызвали?|Зачем вы меня вызвали?
00432|Это я открыл.|Это я открыл.
00433|Но слова были сказаны.|Но слова были сказаны.
00434|Ну, пойдем.|Ну, пойдем.
00435|И эти части смотрели на другие части и на меня.|И эти части смотрели на другие части и на меня.
00436|Так ехать за детьми?|Так ехать за детьми?
00437|Стала профессорша курицу ловить, а курица забилась под диван и оттуда уже кроликом выглядывает.|Стала профессорша курицу ловить, а курица забилась под диван и оттуда уже кроликом выглядывает.
00438|О счастьи кончилась мечта.|О счастьи кончилась мечта.
00439|Но за что я его ценю, так это за то, что он мне покорен.|Но за что я его ценю, так это за то, что он мне покорен.
00440|Ну имей совесть! Вылезти на экран в такое время суток...|Ну имей совесть! Вылезти на экран в такое время суток...
00441|Теперь я всё понимаю.|Теперь я всё понимаю.
00442|Отчего же не подать ему руки?|Отчего же не подать ему руки?
00443|Я не открыл своих пятнадцать карт.|Я не открыл своих пятнадцать карт.
00444|Только мне ужасно хочется.|Только мне ужасно хочется.
00445|Я от первых дней войнищу эту проклял, плюнул рифмами в лицо войне.|Я от первых дней войнищу эту проклял, плюнул рифмами в лицо войне.
00446|Хотя, впрочем, дружили, и даже очень.|Хотя, впрочем, дружили, и даже очень.
00447|Я знал одно такое место.|Я знал одно такое место.
00448|Я поворачиваю направо и прохожу через парадную на улицу.|Я поворачиваю направо и прохожу через парадную на улицу.
00449|Он был несколько холоднее к жене.|Он был несколько холоднее к жене.
00450|Вронский по возвращении из-за границы.|Вронский по возвращении из-за границы.
00451|Решение Анны просить мужа о разводе.|Решение Анны просить мужа о разводе.
00452|батюшка|батюшка
00453|А тут ещё много наших офицеров было.|А тут ещё много наших офицеров было.
00454|Ты еще не все знаешь, брат.|Ты еще не все знаешь, брат.
00455|Он чувствовал себя несчастным.|Он чувствовал себя несчастным.
00456|Я перестаю верить, что есть дом, где так хорошо.|Я перестаю верить, что есть дом, где так хорошо.
00457|Каждый человек по-своему прав, а по-моему нет.|Каждый человек по-своему прав, а по-моему нет.
00458|Идея создания Организации Объединенных Наций по-прежнему является величайшим историческим достижением человечества.|Идея создания Организации Объединенных Наций по-прежнему является величайшим историческим достижением человечества.
00459|Под ним была кровная темно-гнедая лошадь, очевидно разгорячившаяся на галопе.|Под ним была кровная темно-гнедая лошадь, очевидно разгорячившаяся на галопе.
00460|Страна постоянно подвергается ядерной угрозе.|Страна постоянно подвергается ядерной угрозе.
00461|Япония продолжает работать над обеспечением и продвижением органичного подхода к миростроительству.|Япония продолжает работать над обеспечением и продвижением органичного подхода к миростроительству.
00462|Для выполнения своей миссии мы должны предпринять следующие шаги.|Для выполнения своей миссии мы должны предпринять следующие шаги.
00463|Он поднял подсвечник, но спички еще долго не отыскивались.|Он поднял подсвечник, но спички еще долго не отыскивались.
00464|Для продажи на различных рынках или распределения по разным регионам?|Для продажи на различных рынках или распределения по разным регионам?
00465|Я предоставляю слово представителю Сирийской Арабской Республики в осуществление права на ответ.|Я предоставляю слово представителю Сирийской Арабской Республики в осуществление права на ответ.
00466|Взаимопонимание и уважение являются предпосылками достижения общего согласия.|Взаимопонимание и уважение являются предпосылками достижения общего согласия.
00467|Да и день был так хорош, что нельзя было сердиться.|Да и день был так хорош, что нельзя было сердиться.
00468|Веды - это руководство для всестороннего развития человека, живущего в полной гармонии с окружающей средой.|Веды - это руководство для всестороннего развития человека, живущего в полной гармонии с окружающей средой.
00469|Мы призываем незамедлительно активизировать его работу в целях продвижения переговоров по неотложной повестке дня.|Мы призываем незамедлительно активизировать его работу в целях продвижения переговоров по неотложной повестке дня.
00470|Сегодня, когда миру необходимо развитие международной торговли, морские пути через Индийский океан оказались заблокированными.|Сегодня, когда миру необходимо развитие международной торговли, морские пути через Индийский океан оказались заблокированными.
00471|Мы также планируем организовать аналогичное мероприятие в декабре текущего года.|Мы также планируем организовать аналогичное мероприятие в декабре текущего года.
